
,CAWS1,"502 Plaza Drive, West Covina, CA 91790",
,CALPS,"75 Aquarium Way, Long Beach, CA 90802",
,NVLBL,"7501 W Lake Mead Blvd, Las Vegas, NV 89128",
,NVLD2,"8615 W Rome Blvd, Las Vegas, NV 89149",
,NVNAC,"2745 W Centennial Pkwy, Las Vegas, NV 89084",
,NVNCC,"4520 N Scott Robinson Blvd, North Las Vegas, NV 89032",
,NVLRC,"6131 W Craig Rd, Las Vegas, NV 89130",
,NVLCS,"8125 W Sahara Ave, Las Vegas, NV 89117",
,NVLDA,"7070 S Durango Dr, Las Vegas, NV 89113",
,NVLDT,"5035 W Tropicana Ave, Las Vegas, NV 89103",
,NVLPR,"3325 E Russell Rd, Las Vegas, NV 89120",
,NVLRA,"601 S Rainbow Blvd, Las Vegas, NV 89145",
,NVHSA,"3511 St Rose Pkwy, Henderson, NV 89052",
,NVHSP,"35 S Stephanie St, Henderson, NV 89012",
,NVHSS,"1425 W Sunset Rd, Henderson, NV 89014",
,NVLDB,"4935 Blue Diamond Rd, Las Vegas, NV 89139",
,NVLMS,"9875 S Maryland Pkwy, Las Vegas, NV 89183",
,NVNLC,"9875 6564 N Losee Rd, Las Vegas, NV 89086",
,UTLFG,"18 N Fort Ln, Layton, UT 84041",
,UTOK2,"2261 Kiesel Ave, Ogden, UT 84401",
,UTR15,"1985 W 5700 S, Roy, UT 84067",
,UTS1A,"1792 S 1000 W, Syracuse, UT 84075",
,UTKSF,"1188 Sportsplex Dr, Kaysville, UT 84037",
,UTBM2,"2399 S Main St, Bountiful, UT 84010",
,UTM95,"5550 S 900 E Murray, UT 84117",
,UTS75,"515 S 700 E, Salt Lake City, UT 84102",
,UTTR5,"5546 S Redwood Rd, Taylorsville, UT 84123",
,UTWPC,"7135 S Plaza Center Dr, West Jordan, UT 84084",
,UTSJB,"10534 S River Heights Dr, South Jordan, UT 84095",
,UTOMU,"52 E University Pkwy, Orem, UT 84058",
,UTS1S,"10365 S 1300 E Sandy, UT 84094",
,FLCUR,"2322 N University Dr, Coral Springs, FL 33065",
,FLB4G,"20841, FL-7, Boca Raton, FL 33428",
,FLKKR,"8400 Mills Dr, Kendall, FL 33183",
,FLLB5,"17634 Harpers Run, Lutz, FL 33558",
,FLLO5,"2194 Argosy Drive, Land O’ Lakes, FL 34639",
,FLOHC,"5732 N Haiwassee Rd, Orlando, FL 32810",
,FLC1S,"345 Semoran Blvd, Casselberry, FL 32730",
,FLRGB,"5891 S Gornto Lake Rd, Riverview, FL 33578",
,FLSTP,"4940 S Tamiami Trail, Sarasota, FL 34231",
,FLTDB,"2525 N Dale Mabry Hwy, Tampa, FL 33607",
,FLTTE,"5320 Ehrlich Rd, Tampa, FL 33624",
,FLHL5,"8924 State Road 52, Hudson, FL 34667",
,FLKMO,"1345 E Osceola Pkwy, Kissimmee, FL 35744",
,FLBCG,"1775 N Congress Ave, Boynton Beach, FL 33410",
,FLPAP,"11230 Legacy Ave, Palm Beach Gardens, FL 33410",
,FLMWB,"5185 N Wickham Rd, Melbourne, FL 32940",
,TXERG,"2401 Rio Grande Blvd, Euless, TX 76039",
,TXFMA,"3560 Altamesa Blvd, Fort Worth, TX 76133",
,TXDCB,"1300 W Belt Line Rd, Desoto, TX 75115",
,TXPPP,"3500 Preston Rd, Plano, TX 75093",
,TXNRH,"7120 Rufe Snow Dr, North Richland Hills, TX 76182",
,TXHGA,"1755 Allen Pkwy STE 2, Houston, TX 77019",
,TXSW6,"3346 HWY 6, Sugarland, TX 77478",
,TXHWG,"1532 W Gray St, Houston, TX 77019",
,TXKS1,"1719 Spring Green Blvd, Katy, TX 77494",
,TXR27,"4112 FM Highway 762 Rd, Rosenberg, TX 77469",
,TXRGA,"10535 W Grand Parkway South, Richmond, TX 77407",
,TXSSL,"7422 Louetta Rd, Spring, TX 77379",
,TXHEB,"8650 Endicott Ln, Houston, TX 77096",
,TXCG5,"22314 FM 529 Rd, Cypress, TX 77433",
,TXACB,"3850 Belt Line Rd, Addison, TX 75001",
,TXH8G,"701 NE Loop 820, Hurst, TX 76053",
